scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,phase_id,phase_multiplier,phase_offset_s
scenarios/000_jitter_phi_m04_m0p5_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2382670425000001e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242815029e-09,1.262222042e-09,1.281577666e-09,1.300933629e-09,1.320270825e-09,1.339581584e-09,1.358937434e-09,1.378284182e-09,1.39768635e-09,1.417061424e-09,1.436417718e-09,1.45572641e-09,1.475099737e-09,1.494460568e-09,1.513842068e-09,1.533194019e-09,1.552528902e-09,1.571843658e-09,1.591064901e-09,1.610313387e-09,1.62843914e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239896369e-09,1.252709155e-09,1.265421469e-09,1.278191601e-09,1.290940534e-09,1.303686452e-09,1.316411083e-09,1.329161562e-09,1.341825637e-09,1.354634232e-09,1.367349669e-09,1.378790852e-09]",1.1,000000000111111100000000000000,000000011111110000000000000000,000000011111110000000000000000,000000011111110000000000000000,0,7,13,7,1,1,0,0,0,phi_m04,-4,-6.8592175e-12
scenarios/001_jitter_phi_m04_0p0_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26220638e-09,1.281586789e-09,1.300945735e-09,1.320284239e-09,1.339592926e-09,1.358962455e-09,1.378305771e-09,1.397692846e-09,1.417072492e-09,1.436439711e-09,1.455783204e-09,1.475116465e-09,1.494479472e-09,1.513815153e-09,1.533065564e-09,1.55238709e-09,1.571558206e-09,1.590865881e-09,1.610127519e-09,1.6282357e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252668274e-09,1.265454483e-09,1.278205831e-09,1.290939913e-09,1.303683852e-09,1.316408325e-09,1.329149469e-09,1.341826353e-09,1.354621546e-09,1.367362986e-09,1.378790142e-09]",1.1,000000000111111110000000000000,000000011111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,0.0
scenarios/002_jitter_phi_m04_0p5_v1p100000000000,capture,1.1,4,0,2.4512626e-10,1.2519854775000001e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.262223191e-09,1.28159054e-09,1.300948203e-09,1.320288178e-09,1.339646334e-09,1.358928882e-09,1.378323479e-09,1.397702061e-09,1.416973617e-09,1.436404199e-09,1.455618386e-09,1.475043909e-09,1.49429531e-09,1.513693208e-09,1.532984585e-09,1.552322497e-09,1.571694017e-09,1.591041868e-09,1.610315221e-09,1.628354248e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252676615e-09,1.26547357e-09,1.278239912e-09,1.290981269e-09,1.303719971e-09,1.31644241e-09,1.329171281e-09,1.341939387e-09,1.35467629e-09,1.367380218e-09,1.378770924e-09]",1.1,000000000111111110000000000000,000000001111111000000000000000,000000001111111000000000000000,000000001111111000000000000000,0,8,14,7,1,1,0,0,0,phi_m04,-4,6.8592175e-12
scenarios/003_jitter_phi_m04_m0p5_v0p900000000000,capture,0.9,4,0,2.4512626e-10,1.2382670425000001e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238816734e-09,1.270764215e-09,1.302670722e-09,1.334464447e-09,1.366366388e-09,1.398237773e-09,1.430164961e-09,1.461965465e-09,1.493883559e-09,1.525791991e-09,1.55757999e-09,1.589595753e-09,1.621318539e-09,1.653377631e-09,1.685258874e-09,1.717024472e-09,1.748656137e-09,1.780407146e-09,1.812219205e-09,1.843851639e-09,1.87579519e-09,1.907705188e-09,1.9396167e-09,1.971516856e-09,2.003367873e-09,2.033418203e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237288386e-09,1.255749576e-09,1.274397856e-09,1.292920582e-09,1.311560624e-09,1.330087416e-09,1.348604538e-09,1.367240459e-09,1.385700131e-09,1.404383237e-09,1.422897897e-09,1.441358898e-09,1.460100645e-09,1.478696198e-09,1.497275571e-09,1.5158135e-09,1.53434175e-09,1.551311376e-09]",0.9,000011111100000000000000000000,001111100000000000000000000000,001111110000000000000000000000,001111110000000000000000000000,0,2,7,6,1,1,0,0,0,phi_m04,-4,-6.8592175e-12
scenarios/004_jitter_phi_m04_0p0_v0p900000000000,capture,0.9,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270721567e-09,1.302654694e-09,1.33443847e-09,1.366366874e-09,1.398195103e-09,1.430164299e-09,1.462017872e-09,1.493890554e-09,1.525830049e-09,1.557631288e-09,1.589533113e-09,1.621219741e-09,1.653028336e-09,1.684984076e-09,1.716736357e-09,1.748613751e-09,1.780448666e-09,1.812445826e-09,1.844246141e-09,1.875993525e-09,1.907828424e-09,1.939454067e-09,1.971509412e-09,2.003332949e-09,2.033376362e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.25582633e-09,1.274515531e-09,1.293000693e-09,1.311594097e-09,1.330161871e-09,1.348652772e-09,1.367298485e-09,1.385815944e-09,1.404347223e-09,1.423042008e-09,1.441557698e-09,1.460070456e-09,1.478688875e-09,1.497234529e-09,1.515792969e-09,1.534369266e-09,1.55123027e-09]",0.9,000011111110000000000000000000,001111110000000000000000000000,000111110000000000000000000000,000111110000000000000000000000,0,3,7,5,1,1,0,0,0,phi_m04,-4,0.0
scenarios/005_jitter_phi_m04_0p5_v0p900000000000,capture,0.9,4,0,2.4512626e-10,1.2519854775000001e-09,"[1.111377152e-09,1.143216705e-09,1.175040573e-09,1.206903529e-09,1.238832643e-09,1.270772187e-09,1.302690373e-09,1.334485177e-09,1.366478214e-09,1.398304302e-09,1.43022806e-09,1.461986915e-09,1.493931498e-09,1.525826883e-09,1.557677216e-09,1.589655215e-09,1.621566957e-09,1.653390783e-09,1.685219991e-09,1.717163492e-09,1.748978822e-09,1.780690998e-09,1.812490659e-09,1.844231753e-09,1.876127195e-09,1.90809576e-09,1.939990854e-09,1.971902095e-09,2.003802385e-09,2.033804195e-09]","[1.014358427e-09,1.03293924e-09,1.051581662e-09,1.070175496e-09,1.088715042e-09,1.107331078e-09,1.125898727e-09,1.144485684e-09,1.163035444e-09,1.181621105e-09,1.200263938e-09,1.218648216e-09,1.237286218e-09,1.255708338e-09,1.274462026e-09,1.292997682e-09,1.311635822e-09,1.330159741e-09,1.348652861e-09,1.367369292e-09,1.385766983e-09,1.40429306e-09,1.423012722e-09,1.441521443e-09,1.460022922e-09,1.478628543e-09,1.497273517e-09,1.515800635e-09,1.534391401e-09,1.551394017e-09]",0.9,000011111110000000000000000000,001111110000000000000000000000,000111110000000000000000000000,000111110000000000000000000000,0,3,7,5,1,1,0,0,0,phi_m04,-4,6.8592175e-12
scenarios/006_jitter_phi_m04_m0p5_v0p750000000000,capture,0.75,4,0,2.4512626e-10,1.2382670425000001e-09,"[1.211003633e-09,1.272409411e-09,1.33397066e-09,1.39560479e-09,1.457072519e-09,1.518696438e-09,1.580284519e-09,1.641865554e-09,1.703520262e-09,1.765187762e-09,1.826659994e-09,1.888250238e-09,1.949984886e-09,2.011730504e-09,2.073597483e-09,2.135478941e-09,2.196942788e-09,2.258709625e-09,2.32035043e-09,2.381953288e-09,2.443732633e-09,2.505485031e-09,2.567233036e-09,2.628980297e-09,2.690727429e-09,2.752474539e-09,2.813938371e-09,2.875700512e-09,2.937332581e-09,2.996004321e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.25915853e-09,1.288999945e-09,1.318791191e-09,1.348594217e-09,1.378408814e-09,1.408225913e-09,1.438000382e-09,1.468026451e-09,1.497709655e-09,1.527292435e-09,1.557105629e-09,1.586902467e-09,1.616703231e-09,1.646506764e-09,1.676312469e-09,1.706128581e-09,1.735944474e-09,1.76596924e-09,1.795493332e-09,1.82524848e-09,1.855081893e-09,1.88252411e-09]",0.75,111110000000000000000000000000,100000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m04,-4,-6.8592175e-12
scenarios/007_jitter_phi_m04_0p0_v0p750000000000,capture,0.75,4,0,2.4512626e-10,1.2451262600000001e-09,"[1.211003633e-09,1.272431126e-09,1.333939882e-09,1.395588535e-09,1.457057869e-09,1.518706271e-09,1.580252018e-09,1.64190239e-09,1.703499217e-09,1.765038411e-09,1.826710036e-09,1.888316352e-09,1.950172106e-09,2.011974437e-09,2.073736461e-09,2.135381845e-09,2.196961746e-09,2.258626682e-09,2.320244493e-09,2.382019507e-09,2.443770755e-09,2.505518579e-09,2.567265808e-09,2.629012935e-09,2.690760043e-09,2.752402585e-09,2.813980913e-09,2.875644855e-09,2.937266227e-09,2.996063324e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259101089e-09,1.288913173e-09,1.318675673e-09,1.348429492e-09,1.378186417e-09,1.407821988e-09,1.437380371e-09,1.46716959e-09,1.496983462e-09,1.526616617e-09,1.556420496e-09,1.58622495e-09,1.616030368e-09,1.645843494e-09,1.675671656e-09,1.705498446e-09,1.735321764e-09,1.765141777e-09,1.794995243e-09,1.824634438e-09,1.854462813e-09,1.88201721e-09]",0.75,111110000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m04,-4,0.0
scenarios/008_jitter_phi_m04_0p5_v0p750000000000,capture,0.75,4,0,2.4512626e-10,1.2519854775000001e-09,"[1.211003633e-09,1.272275018e-09,1.333785673e-09,1.395419562e-09,1.456911499e-09,1.518603677e-09,1.580166725e-09,1.641772313e-09,1.703406596e-09,1.765111943e-09,1.826544895e-09,1.888149535e-09,1.949886023e-09,2.011628155e-09,2.073492935e-09,2.135378478e-09,2.196843021e-09,2.258610195e-09,2.320251614e-09,2.381854353e-09,2.443633635e-09,2.50538601e-09,2.567134012e-09,2.628881271e-09,2.690628403e-09,2.752375513e-09,2.813839346e-09,2.875601487e-09,2.937233556e-09,2.995905296e-09]","[1.021076496e-09,1.050956111e-09,1.080661405e-09,1.110343317e-09,1.139972502e-09,1.169744516e-09,1.199548577e-09,1.229366347e-09,1.259058391e-09,1.288972925e-09,1.31878637e-09,1.348578667e-09,1.378388094e-09,1.408204391e-09,1.438021598e-09,1.46788139e-09,1.497718685e-09,1.527292527e-09,1.55692372e-09,1.586730076e-09,1.616549091e-09,1.646377015e-09,1.676202849e-09,1.706025325e-09,1.735818458e-09,1.765863847e-09,1.795300264e-09,1.825057178e-09,1.854880162e-09,1.882293644e-09]",0.75,011111000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,110000000000000000000000000000,0,0,1,2,1,1,0,1,0,phi_m04,-4,6.8592175e-12
scenarios/009_jitter_phi_p04_m0p5_v1p100000000000,capture,1.1,4,0,3.5487374e-10,1.3480145225e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26226352e-09,1.281639938e-09,1.300963571e-09,1.320313059e-09,1.339572386e-09,1.358927525e-09,1.378239372e-09,1.397591725e-09,1.417002857e-09,1.436358496e-09,1.455635525e-09,1.47499704e-09,1.494381005e-09,1.513777722e-09,1.532983017e-09,1.552203128e-09,1.57161639e-09,1.590863253e-09,1.610179396e-09,1.628277152e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265525025e-09,1.278199626e-09,1.290907729e-09,1.303676268e-09,1.316433281e-09,1.329201964e-09,1.341876697e-09,1.354535123e-09,1.367351895e-09,1.378845109e-09]",1.1,000000000000001111111111100000,000000000000011111111110000000,000000000000011111111110000000,000000000000011111111110000000,0,13,22,10,1,1,0,0,0,phi_p04,4,-6.8592175e-12
