scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,sweep_kind
t0__b0p95__L2__dv90p0__h3000p0__pm1000p0__132b9e4869d12f47fc2b,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,-1000.0,0.86,2.154950747e-09,2.719480255e-09,2.650341043e-09,5.46075252e-09,564.5295079999997,495.3902959999998,69.13921199999993,0.9499935839,0.9500005284,0.95,0.95,0.9999932462105263,1.0000005562105263,1,stable_high,1,8.20261563372093e-07,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r88/scenarios/t0__b0p95__L2__dv90p0__h3000p0__pm1000p0__132b9e4869d12f47fc2b,c25b873ea09b50dc0efc1cdadae4ef089541f7d4c4591410a22227387789528b,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__pm750p0__8a915554e25e9308d6d8,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,-750.0,0.86,2.155637251e-09,2.71956859e-09,2.650830517e-09,5.461417078e-09,563.9313390000002,495.19326599999994,68.73807300000027,0.9499919864,0.9500020376,0.95,0.95,0.999991564631579,1.0000021448421053,1,stable_high,1,2.1900713639534885e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r89/scenarios/t0__b0p95__L2__dv90p0__h3000p0__pm750p0__8a915554e25e9308d6d8,d04d03ed4773b1d2855cb32fbc7bf93f63306035f0da1365a593774a39b60691,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__pm500p0__b45c947498bb3f74e01c,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,-500.0,0.86,2.154895113e-09,2.719019658e-09,2.650308078e-09,5.460502607e-09,564.1245449999998,495.41296499999993,68.71157999999986,0.8599996904,0.8599996484,0.86,0.86,0.9999996400000001,0.9999995911627907,1,stable_high,1,3.462975253488372e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r90/scenarios/t0__b0p95__L2__dv90p0__h3000p0__pm500p0__b45c947498bb3f74e01c,2f4cda91b15228896104ad5d36b7a5a7c87b84fc316be4c2374db25b095544dc,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__pm250p0__d12c405986c3f7c24c3d,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,-250.0,0.86,2.154887721e-09,2.718810444e-09,2.650174809e-09,5.460758385e-09,563.922723,495.28708800000004,68.63563499999998,0.8599997104,0.8599996484,0.86,0.86,0.999999663255814,0.9999995911627907,1,stable_high,1,1.078813311627907e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r91/scenarios/t0__b0p95__L2__dv90p0__h3000p0__pm250p0__d12c405986c3f7c24c3d,cd0f919dcc88eb2f33f4fff3cf4f368293b0290ade6f8686eb97b0f490b962d5,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p0p0__dc5e4b2f0c52e2c2b21a,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,0.0,0.86,2.156094887e-09,2.71997315e-09,2.651231483e-09,5.459702783e-09,563.8782629999996,495.136596,68.74166699999961,0.8599997934,0.8599996277,0.86,0.86,0.9999997597674418,0.9999995670930233,1,stable_high,1,1.1429297982558139e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r92/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p0p0__dc5e4b2f0c52e2c2b21a,49a31f3a5c41b891a51c2bb4014784ea25b3a2e7202b8e8508a90a98b2336960,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p250p0__16448f4b2bce5c10a61e,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,250.0,0.86,2.095160395e-09,2.633665018e-09,2.590449991e-09,5.511377431e-09,538.504623,495.28959600000036,43.21502699999968,-1.167454564e-07,1.871211839e-07,0.86,0.86,-1.357505306976744e-07,2.175827719767442e-07,0,stable_low,1,3.316444153488372e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r93/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p250p0__16448f4b2bce5c10a61e,3723bb22517f99f0ce51632c2b634049ba4f995d41a2669712433b537a417f5d,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p500p0__ca5ccfb75a20efbdad1c,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,500.0,0.86,2.035127244e-09,2.547824318e-09,2.530279919e-09,5.562371573e-09,512.6970739999998,495.15267499999993,17.544398999999885,1.29618167e-08,3.15445601e-07,0.86,0.86,1.507187988372093e-08,3.667972104651163e-07,0,stable_low,1,3.214636380232558e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r94/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p500p0__ca5ccfb75a20efbdad1c,a50c062e873ab07d276918bf9e9c19083122753d1bab7b847ba978486890cd25,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p750p0__5a803d340fb248eeef17,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,750.0,0.86,2.022448913e-09,2.461389667e-09,2.460802668e-09,5.617061832e-09,438.94075399999974,438.3537549999997,0.5869990000000485,-4.388986154e-07,1.019983035e-06,0.86,0.86,-5.103472272093023e-07,1.1860267848837208e-06,0,stable_low,1,2.887484848837209e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r95/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p750p0__5a803d340fb248eeef17,bbba6f50902316fd4bc6f67e2963cc08e620dd17a50a66a130fe0579dea0bae0,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p1000p0__aceb64e9c497b563690b,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,1000.0,0.86,2.022448913e-09,2.40343136e-09,2.425115752e-09,5.666806187e-09,380.982447,402.66683900000004,-21.68439200000006,1.598782498e-07,1.736965237e-07,0.86,0.86,1.8590494162790697e-07,2.019727019767442e-07,0,stable_low,1,3.0403810488372095e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r96/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p1000p0__aceb64e9c497b563690b,02ea01af7a3f42aabe3d6bf96e5a1cbc247e5b0356beacb2ba9681b7479b02ae,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p1250p0__9ea3f2c7a7147d5e191b,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,1250.0,0.86,2.022448913e-09,2.40343136e-09,2.425115752e-09,5.701613752e-09,380.982447,402.66683900000004,-21.68439200000006,3.059054949e-08,-2.250993588e-08,0.86,0.86,3.557040638372093e-08,-2.617434404651163e-08,0,stable_low,1,1.2270458709302326e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r97/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p1250p0__9ea3f2c7a7147d5e191b,1383539c659e1158177cafde8ebd68b59cfe0bc81901bb64476e385e90c74c11,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
